NormDist x Values,NormDist y Values,Histo Bins,Amt Per Bin,__
0.001028244,1068.551049,,,
0.001031796,1064.729522,,,
0.001035349,1060.820678,,,
0.001038902,1056.825494,,,
0.001042455,1052.744966,,,
0.001046008,1048.580112,,,
0.00104956,1044.331967,,,
0.001053113,1040.001588,,,
0.001056666,1035.590047,,,
0.001060219,1031.098438,,,
0.001063771,1026.527872,,,
0.001067324,1021.879475,,,
0.001070877,1017.154394,,,
0.00107443,1012.35379,,,
0.001077983,1007.478841,,,
0.001081535,1002.53074,,,
0.001085088,997.5106976,,,
0.001088641,992.4199374,,,
0.001092194,987.2596979,,,
0.001095747,982.0312318,,,
0.001099299,976.7358053,,,
0.001102852,971.3746976,,,
0.001106405,965.9492003,,,
0.001109958,960.4606175,,,
0.001113511,954.9102647,,,
0.001117063,949.2994684,,,
0.001120616,943.6295659,,,
0.001124169,937.9019046,,,
0.001127722,932.1178415,,,
0.001131274,926.2787428,,,
0.001134827,920.3859831,,,
0.00113838,914.4409453,,,
0.001141933,908.4450197,,,
0.001145486,902.3996039,,,
0.001149038,896.306102,,,
0.001152591,890.1659239,,,
0.001156144,883.9804852,,,
0.001159697,877.7512064,,,
0.00116325,871.4795127,,,
0.001166802,865.1668329,,,
0.001170355,858.8145994,,,
0.001173908,852.4242475,,,
0.001177461,845.9972148,,,
0.001181013,839.5349408,,,
0.001184566,833.0388663,,,
0.001188119,826.510433,,,
0.001191672,819.9510827,,,
0.001195225,813.3622571,,,
0.001198777,806.7453972,,,
0.00120233,800.1019427,,,
0.001205883,793.4333314,,,
0.001209436,786.740999,,,
0.001212989,780.0263784,,,
0.001216541,773.2908991,,,
0.001220094,766.535987,,,
0.001223647,759.7630636,,,
0.0012272,752.9735456,,,
0.001230752,746.1688447,,,
0.001234305,739.3503666,,,
0.001237858,732.5195109,,,
0.001241411,725.6776706,,,
0.001244964,718.8262315,,,
0.001248516,711.9665717,,,
0.001252069,705.1000616,,,
0.001255622,698.2280626,,,
0.001259175,691.3519276,,,
0.001262728,684.4729998,,,
0.00126628,677.592613,,,
0.001269833,670.7120903,,,
0.001273386,663.8327445,,,
0.001276939,656.9558772,,,
0.001280491,650.0827786,,,
0.001284044,643.2147271,,,
0.001287597,636.3529889,,,
0.00129115,629.4988174,,,
0.001294703,622.6534533,,,
0.001298255,615.8181239,,,
0.001301808,608.9940427,,,
0.001305361,602.1824092,,,
0.001308914,595.3844088,,,
0.001312467,588.6012118,,,
0.001316019,581.833974,,,
0.001319572,575.0838354,,,
0.001323125,568.3519208,,,
0.001326678,561.6393389,,,
0.00133023,554.9471822,,,
0.001333783,548.276527,,,
0.001337336,541.6284327,,,
0.001340889,535.0039418,,,
0.001344442,528.4040796,,,
0.001347994,521.8298541,,,
0.001351547,515.2822555,,,
0.0013551,508.7622563,,,
0.001358653,502.2708108,,,
0.001362206,495.8088553,,,
0.001365758,489.3773074,,,
0.001369311,482.9770664,,,
0.001372864,476.6090127,,,
